Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Initiating Action
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Charlotte County Public Schools,August 2023,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Collier County Public Schools,October 2023,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Hernando County Schools,October 2023,Banned by restriction,Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Nassau County School District,November 2023,Banned,Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Okaloosa County School District,August 2023,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Santa Rosa County Schools,July 2023,Banned pending investigation,Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Florida,Seminole County Public Schools,November 2023,Banned by restriction,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Iowa,Bondurant-Farrar Community School District,March 2024,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Iowa,Clear Lake Community School District,June 2024,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Iowa,Nevada Community School District,October 2023,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Iowa,Pocahontas Area Community School District,June 2024,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Iowa,Winterset Community School District,October 2023,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,North Carolina,Charlotte-Mecklenburg Schools,October 2023,Banned,Formal Challenge
The Poet X,"Acevedo, Elizabeth",,,,,Pennsylvania,Blackhawk School District,October 2023,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Texas,Conroe Independent School District,November 2023,Banned,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Texas,Fort Worth Independent School District,August 2023,Banned pending investigation,Administration
The Poet X,"Acevedo, Elizabeth",,,,,Virginia,Hanover County Public Schools,August 2023,Banned,Administration
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Duval County Public Schools,December 2023,Banned pending investigation,Administration
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Lee County Schools,September 2023,Banned,Formal Challenge
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Orange County Public Schools,February 2024,Banned,Administration
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Polk County Public Schools,April 2024,Banned,Formal Challenge
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,St. John's County School District,February 2024,Banned pending investigation,Formal Challenge
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Iowa,West Des Moines Community Schools,October 2023,Banned pending investigation,Administration
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Maryland,Caroll County School District,August 2023,Banned pending investigation,Formal Challenge
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Texas,Conroe Independent School District,November 2023,Banned,Administration
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Texas,Plano Independent School District,October 2023,Banned,Informal Challenge
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Virginia,Hanover County Public Schools,August 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Charlotte County Public Schools,August 2023,Banned,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Flagler Schools,Fall 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Santa Rosa County Schools,October 2023,Banned pending investigation,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Florida,Seminole County Public Schools,September 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Alta-Aurelia Community Schools,October 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,CAM Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Central Springs School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Clarion-Goldfield-Dows Community School District,June 2024,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Clear Lake Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Denver Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Estherville Lincoln Central Community School District,October 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Keota Community School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Lake Mills Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Lisbon Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Madrid Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Maquoketa Valley Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Marshalltown Community School District,September 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Martensdale-St. Marys Community School District,October 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Mason City Community Schools,October 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Mediapolis Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Melcher-Dallas Community School District,December 2023,Banned pending investigation,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Mid-Prairie Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Nevada Community School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,New Hampton Community Schools,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Nodaway Valley Community School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Ottumwa Community School District,January 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Pocahontas Area Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Red Oak School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Riceville Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Rudd-Rockford-Marble Rock Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Shenandoah Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Sigourney Community School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Solon Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,South Central Calhoun Community School District,June 2024,Banned by restriction,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,South Hamilton Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,South Tama County Community School District,December 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Spirit Lake Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Springville Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,St. Ansgar Community School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Tripoli Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Turkey Valley Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,WACO Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Washington Community School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Waverly-Shell Rock Community School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,West Burlington Independent School District,June 2024,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,Iowa,Winterset Community School District,October 2023,Banned,Administration
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,,North Carolina,Moore County Schools,January 2024,Banned by restriction,Formal Challenge
