year,censor-attempts,titles-challenged,unique-titles,most-challenged-title,state-with-most-challenges,second-state,first-attempts,first-titles,second-attempts,second-titles
2015,229,230,193,Looking for Alaska,California,Illinois,17,17,15,15
2016,189,240,208,This One Summer,Texas,Massachusetts,19,22,2,17
2017,243,302,259,Thirteen Reasons Why,Texas,Illinois,33,35,16,17
2018,231,256,218,A Day in the Life of Marlon Bundo & Melissa,Texas,Oregon,24,28,21,22
2019,246,332,276,Melissa,Oregon,Virginia,34,34,6,32
2020,121,277,231,Melissa,Florida,Virginia,5,43,3,25
2021,602,3926,1858,Gender Queer,Texas,Michigan,64,1524,22,438
2022,1031,6838,2571,Gender Queer,Texas,Florida,94,2397,35,1015
2023,983,9021,4240,Gender Queer,Florida,Texas,33,2672,49,1470
2024,821,5813,2452,All Boys Aren't Blue,Texas,Tennesse,43,1514,24,1253
