code,name,row,col,Bans
AL,Alabama,7,7,0
AK,Alaska,0,0,56
AZ,Arizona,7,2,0
AR,Arkansas,6,5,0
CA,California,6,0,2
CO,Colorado,5,2,0
CT,Connecticut,3,10,0
DE,Delaware,4,9,0
FL,Florida,8,9,4561
GA,Georgia,7,8,83
HI,Hawaii,8,0,0
ID,Idaho,3,1,12
IL,Illinois,5,5,2
IN,Indiana,4,5,1
IA,Iowa,4,4,3671
KS,Kansas,6,3,0
KY,Kentucky,5,7,100
LA,Louisiana,8,6,1
ME,Maine,0,10,83
MD,Maryland,4,8,64
MA,Massachusetts,2,10,1
MI,Michigan,3,6,0
MN,Minnesota,3,4,1
MS,Mississippi,7,6,0
MO,Missouri,5,4,57
MT,Montana,3,2,3
NE,Nebraska,5,3,0
NV,Nevada,5,0,0
NH,New Hampshire,1,10,0
NJ,New Jersey,3,9,1
NM,New Mexico,7,3,0
NY,New York,2,9,6
NC,North Carolina,6,8,61
ND,North Dakota,3,3,0
OH,Ohio,4,6,3
OK,Oklahoma,7,4,0
OR,Oregon,4,0,18
PA,Pennsylvania,3,8,20
RI,Rhode Island,2,11,0
SC,South Carolina,6,9,64
SD,South Dakota,4,3,0
TN,Tennessee,6,7,34
TX,Texas,8,4,538
UT,Utah,5,1,32
VT,Vermont,1,9,0
VA,Virginia,5,8,121
WA,Washington,3,0,0
WV,West Virginia,4,7,0
WI,Wisconsin,3,5,408
WY,Wyoming,4,2,42
